frame_id,timestamp_seg,fps,tiempo_inferencia_ms,cantidad_personas,confianza_promedio_frame,conteo_entrada,conteo_salida,alerta
579,50.285,22.2677,31.7612,3,0.8652,2,2,ALERTA: deteccion confiable (0.90)
580,50.351,21.0624,31.0178,3,0.8515,2,2,ALERTA: deteccion confiable (0.90)
581,50.418,20.3393,30.1108,3,0.8637,2,2,ALERTA: deteccion confiable (0.90)
582,50.488,18.9065,31.9018,3,0.8227,2,2,ALERTA: deteccion confiable (0.90)
583,50.553,20.9988,31.5099,3,0.8772,2,2,ALERTA: deteccion confiable (0.90)
584,50.619,20.7741,31.4341,3,0.8491,2,2,ALERTA: deteccion confiable (0.90)
585,50.688,19.8807,31.6501,3,0.8604,2,2,ALERTA: deteccion confiable (0.90)
586,50.752,21.7264,31.683,3,0.8275,2,2,ALERTA: deteccion confiable (0.90)
587,50.82,20.0284,31.713,3,0.7903,2,2,ALERTA: deteccion confiable (0.90)
588,50.89,18.7932,35.0659,2,0.8346,2,2,ALERTA: deteccion confiable (0.90)
589,50.954,21.9515,35.8491,1,0.9064,2,2,ALERTA: deteccion confiable (0.90)
590,51.027,17.9398,40.3371,2,0.6741,2,2,ALERTA: deteccion confiable (0.90)
591,51.083,26.7051,32.1529,1,0.9006,2,3,ALERTA: deteccion confiable (0.90)
592,51.173,13.7056,28.6293,0,,2,3,ALERTA: deteccion confiable (0.90)
593,51.229,26.1719,27.854,0,,2,3,ALERTA: deteccion confiable (0.90)
594,51.31,15.9154,33.6032,0,,2,3,ALERTA: deteccion confiable (0.90)
595,51.366,25.3247,32.547,0,,2,3,ALERTA: deteccion confiable (0.90)
596,51.441,17.1503,35.2597,0,,2,3,ALERTA: deteccion confiable (0.90)
597,51.504,21.9578,34.0858,0,,2,3,ALERTA: deteccion confiable (0.90)
